Year,Value,Units,Series
1991,0.0,100000_POP,SH_TBS_INCD
1992,2.1,100000_POP,SH_TBS_INCD
1993,2.2,100000_POP,SH_TBS_INCD
1994,0.0,100000_POP,SH_TBS_INCD
1995,4.6,100000_POP,SH_TBS_INCD
1996,0.0,100000_POP,SH_TBS_INCD
1997,0.0,100000_POP,SH_TBS_INCD
1998,6.7,100000_POP,SH_TBS_INCD
1999,4.4,100000_POP,SH_TBS_INCD
2000,13.1,100000_POP,SH_TBS_INCD
2001,2.1,100000_POP,SH_TBS_INCD
2002,0.0,100000_POP,SH_TBS_INCD
2003,2.1,100000_POP,SH_TBS_INCD
2004,0.0,100000_POP,SH_TBS_INCD
2005,0.0,100000_POP,SH_TBS_INCD
2006,2.1,100000_POP,SH_TBS_INCD
2007,2.1,100000_POP,SH_TBS_INCD
2008,2.1,100000_POP,SH_TBS_INCD
2009,0.0,100000_POP,SH_TBS_INCD
2010,4.1,100000_POP,SH_TBS_INCD
2011,4.1,100000_POP,SH_TBS_INCD
2012,4.2,100000_POP,SH_TBS_INCD
2013,8.3,100000_POP,SH_TBS_INCD
2014,2.1,100000_POP,SH_TBS_INCD
2015,4.1,100000_POP,SH_TBS_INCD
2016,4.0,100000_POP,SH_TBS_INCD
2017,2.0,100000_POP,SH_TBS_INCD
2018,2.0,100000_POP,SH_TBS_INCD
2019,1.9,100000_POP,SH_TBS_INCD
2020,0.0,100000_POP,SH_TBS_INCD
2021,0.0,100000_POP,SH_TBS_INCD
