Year,Series,sex,outcome,Units,Value
2023,PR_EMP,,SL_EMP_INJUR,NO,758.335422411632
2024,PR_EMP,,SL_EMP_INJUR,NO,796.614388847399
2025,PR_EMP,,SL_EMP_INJUR,NO,863.611128246253
2009,PR_EMP,,SL_EMP_FTLINJUR,NO,7.29447808009337
2010,PR_EMP,,SL_EMP_FTLINJUR,NO,0.0
2011,PR_EMP,,SL_EMP_FTLINJUR,NO,0.0
2012,PR_EMP,,SL_EMP_FTLINJUR,NO,3.5988051966747
2013,PR_EMP,,SL_EMP_FTLINJUR,NO,3.64896916621055
2014,PR_EMP,,SL_EMP_FTLINJUR,NO,10.7933081489477
2015,PR_EMP,,SL_EMP_FTLINJUR,NO,0.0
2016,PR_EMP,,SL_EMP_FTLINJUR,NO,3.52820802314505
2017,PR_EMP,,SL_EMP_FTLINJUR,NO,0.0
2018,PR_EMP,,SL_EMP_FTLINJUR,NO,3.35210512201663
2019,PR_EMP,,SL_EMP_FTLINJUR,NO,3.25605626465225
2020,PR_EMP,,SL_EMP_FTLINJUR,NO,9.80071871937276
2021,PR_EMP,,SL_EMP_FTLINJUR,NO,0.0
2022,PR_EMP,,SL_EMP_FTLINJUR,NO,0.0
2023,PR_EMP,,SL_EMP_FTLINJUR,NO,0.0
2024,PR_EMP,,SL_EMP_FTLINJUR,NO,12.4470998257406
2025,PR_EMP,,SL_EMP_FTLINJUR,NO,9.25297637406699
2009,PR_EMP,M,SL_EMP_INJUR,NO,485.436893203884
2010,PR_EMP,M,SL_EMP_INJUR,NO,276.298941977222
2011,PR_EMP,M,SL_EMP_INJUR,NO,469.449660551784
2012,PR_EMP,M,SL_EMP_INJUR,NO,464.08393866021
2013,PR_EMP,M,SL_EMP_INJUR,NO,450.092666137146
2014,PR_EMP,M,SL_EMP_INJUR,NO,498.327978493214
2015,PR_EMP,M,SL_EMP_INJUR,NO,773.2483212371969
2016,PR_EMP,M,SL_EMP_INJUR,NO,712.2131363756271
2017,PR_EMP,M,SL_EMP_INJUR,NO,790.565059616381
2018,PR_EMP,M,SL_EMP_INJUR,NO,814.5753015794061
2019,PR_EMP,M,SL_EMP_INJUR,NO,720.338983050847
2020,PR_EMP,M,SL_EMP_INJUR,NO,610.4260774020271
2009,PR_EMP,M,SL_EMP_FTLINJUR,NO,13.4843581445523
2010,PR_EMP,M,SL_EMP_FTLINJUR,NO,0.0
2011,PR_EMP,M,SL_EMP_FTLINJUR,NO,0.0
2012,PR_EMP,M,SL_EMP_FTLINJUR,NO,6.7258541834813
2013,PR_EMP,M,SL_EMP_FTLINJUR,NO,6.6190097961345
2014,PR_EMP,M,SL_EMP_FTLINJUR,NO,19.6708412563111
2015,PR_EMP,M,SL_EMP_FTLINJUR,NO,0.0
2016,PR_EMP,M,SL_EMP_FTLINJUR,NO,6.5945660775521
2017,PR_EMP,M,SL_EMP_FTLINJUR,NO,0.0
2018,PR_EMP,M,SL_EMP_FTLINJUR,NO,6.21813207312523
2019,PR_EMP,M,SL_EMP_FTLINJUR,NO,0.0
2020,PR_EMP,M,SL_EMP_FTLINJUR,NO,18.3127823220608
2021,PR_EMP,M,SL_EMP_FTLINJUR,NO,0.0
2022,PR_EMP,M,SL_EMP_FTLINJUR,NO,0.0
2023,PR_EMP,M,SL_EMP_FTLINJUR,NO,0.0
2024,PR_EMP,M,SL_EMP_FTLINJUR,NO,23.3453951208124
2025,PR_EMP,M,SL_EMP_FTLINJUR,NO,17.3983645537319
2009,PR_EMP,F,SL_EMP_INJUR,NO,540.282853964723
2010,PR_EMP,F,SL_EMP_INJUR,NO,363.667850030306
2011,PR_EMP,F,SL_EMP_INJUR,NO,530.731039205616
2012,PR_EMP,F,SL_EMP_INJUR,NO,441.210620017029
2013,PR_EMP,F,SL_EMP_INJUR,NO,618.087182823682
2014,PR_EMP,F,SL_EMP_INJUR,NO,725.446428571428
2015,PR_EMP,F,SL_EMP_INJUR,NO,579.12036312412
2016,PR_EMP,F,SL_EMP_INJUR,NO,576.6750132787009
2017,PR_EMP,F,SL_EMP_INJUR,NO,415.030015563626
2018,PR_EMP,F,SL_EMP_INJUR,NO,610.909090909091
2019,PR_EMP,F,SL_EMP_INJUR,NO,753.9458850056369
2020,PR_EMP,F,SL_EMP_INJUR,NO,491.987630025302
2009,PR_EMP,F,SL_EMP_FTLINJUR,NO,0.0
2010,PR_EMP,F,SL_EMP_FTLINJUR,NO,0.0
2011,PR_EMP,F,SL_EMP_FTLINJUR,NO,0.0
2012,PR_EMP,F,SL_EMP_FTLINJUR,NO,0.0
2013,PR_EMP,F,SL_EMP_FTLINJUR,NO,0.0
2014,PR_EMP,F,SL_EMP_FTLINJUR,NO,0.0
2015,PR_EMP,F,SL_EMP_FTLINJUR,NO,0.0
2016,PR_EMP,F,SL_EMP_FTLINJUR,NO,0.0
2017,PR_EMP,F,SL_EMP_FTLINJUR,NO,0.0
2018,PR_EMP,F,SL_EMP_FTLINJUR,NO,0.0
2019,PR_EMP,F,SL_EMP_FTLINJUR,NO,7.04622322435175
2020,PR_EMP,F,SL_EMP_FTLINJUR,NO,0.0
2021,PR_EMP,F,SL_EMP_FTLINJUR,NO,0.0
2022,PR_EMP,F,SL_EMP_FTLINJUR,NO,0.0
2023,PR_EMP,F,SL_EMP_FTLINJUR,NO,0.0
2024,PR_EMP,F,SL_EMP_FTLINJUR,NO,0.0
2025,PR_EMP,F,SL_EMP_FTLINJUR,NO,0.0
