Year,Series,Units,Value
2021,Coverage of protected areas in relation to marine areas (Exclusive Economic Zones) (%),pct.,0.26405
2021,Protected marine area (Exclusive Economic Zones) (square kilometres),sqare km,704.26871
2012,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),pct.,16.66667
2013,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),pct.,16.66667
2014,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),pct.,16.66667
2015,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),pct.,16.66667
2016,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),pct.,16.66667
2017,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),pct.,16.66667
2018,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),pct.,16.66667
2019,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),pct.,16.66667
2020,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),pct.,16.66667
2021,Average proportion of Marine Key Biodiversity Areas (KBAs) covered by protected areas (%),pct.,16.66667
