Year,Value,Units,Series
2009,274.03516784654,Í tali,Tilsamans
2010,210.905030705291,Í tali,Tilsamans
2011,264.075426543707,Í tali,Tilsamans
2012,231.027867736546,Í tali,Tilsamans
2013,272.637144745539,Í tali,Tilsamans
2014,251.904771737111,Í tali,Tilsamans
2015,221.843353942855,Í tali,Tilsamans
2016,248.553500122239,Í tali,Tilsamans
2017,294.515159461804,Í tali,Tilsamans
2018,238.986696407233,Í tali,Tilsamans
2019,191.987462043295,Í tali,Tilsamans
2020,127.334465195246,Í tali,Tilsamans
2021,176.339799125968,Í tali,Tilsamans
