Year,avleiðing,Units,Series,kyn,Value
2009,Deyðilig,Í tali,Persónar,,1.0
2009,Deyðilig,Í tali,Persónar,Menn,1.0
2009,Deyðilig,Í tali,Persónar,Kvinnur,0.0
2009,Deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,,3.64723904004668
2009,Deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,Menn,6.74217907227616
2009,Deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,Kvinnur,0.0
2010,Deyðilig,Í tali,Persónar,,0.0
2010,Deyðilig,Í tali,Persónar,Menn,0.0
2010,Deyðilig,Í tali,Persónar,Kvinnur,0.0
2010,Deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,,0.0
2010,Deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,Menn,0.0
2010,Deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,Kvinnur,0.0
2011,Deyðilig,Í tali,Persónar,,0.0
2011,Deyðilig,Í tali,Persónar,Menn,0.0
2011,Deyðilig,Í tali,Persónar,Kvinnur,0.0
2011,Deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,,0.0
2011,Deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,Menn,0.0
2011,Deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,Kvinnur,0.0
2012,Deyðilig,Í tali,Persónar,,1.0
2012,Deyðilig,Í tali,Persónar,Menn,1.0
2012,Deyðilig,Í tali,Persónar,Kvinnur,0.0
2012,Deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,,3.5988051966747
2012,Deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,Menn,6.7258541834813
2012,Deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,Kvinnur,0.0
2013,Deyðilig,Í tali,Persónar,,1.0
2013,Deyðilig,Í tali,Persónar,Menn,1.0
2013,Deyðilig,Í tali,Persónar,Kvinnur,0.0
2013,Deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,,3.64896916621055
2013,Deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,Menn,6.6190097961345
2013,Deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,Kvinnur,0.0
2014,Deyðilig,Í tali,Persónar,,1.0
2014,Deyðilig,Í tali,Persónar,Menn,1.0
2014,Deyðilig,Í tali,Persónar,Kvinnur,0.0
2014,Deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,,3.59776938298255
2014,Deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,Menn,6.55694708543702
2014,Deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,Kvinnur,0.0
2015,Deyðilig,Í tali,Persónar,,0.0
2015,Deyðilig,Í tali,Persónar,Menn,0.0
2015,Deyðilig,Í tali,Persónar,Kvinnur,0.0
2015,Deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,,0.0
2015,Deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,Menn,0.0
2015,Deyðilig,Í tali,pr. 100.000 arbeiðsvirkin,Kvinnur,0.0
