Year,Series,region,sex,age,Units,GeoCode,Value
2010,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 25 - 54,pct.,4200,3.2
2011,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 25 - 54,pct.,4200,2.8
2012,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 25 - 54,pct.,4200,3.4
2013,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 25 - 54,pct.,4200,2.7
2014,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 25 - 54,pct.,4200,2.0
2015,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 25 - 54,pct.,4200,2.1
2016,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 25 - 54,pct.,4200,2.0
2017,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 25 - 54,pct.,4200,2.4
2018,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 25 - 54,pct.,4200,2.2
2019,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 25 - 54,pct.,4200,1.5
2020,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 25 - 54,pct.,4200,1.6
2021,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 25 - 54,pct.,4200,2.4
2022,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 25 - 54,pct.,4200,2.0
2023,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 25 - 54,pct.,4200,2.0
2024,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 25 - 54,pct.,4200,3.0
2009,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 55 - 66,pct.,4200,3.9
2010,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 55 - 66,pct.,4200,3.7
2011,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 55 - 66,pct.,4200,3.9
2012,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 55 - 66,pct.,4200,4.1
2013,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 55 - 66,pct.,4200,2.8
2014,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 55 - 66,pct.,4200,2.2
2015,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 55 - 66,pct.,4200,1.6
2016,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 55 - 66,pct.,4200,2.0
2017,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 55 - 66,pct.,4200,1.4
2018,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 55 - 66,pct.,4200,1.7
2019,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 55 - 66,pct.,4200,1.7
2020,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 55 - 66,pct.,4200,1.8
2021,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 55 - 66,pct.,4200,2.4
2022,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 55 - 66,pct.,4200,1.7
2023,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 55 - 66,pct.,4200,1.6
2024,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 55 - 66,pct.,4200,2.1
2009,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 67 + ,pct.,4200,3.5
2010,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 67 + ,pct.,4200,3.1
2011,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 67 + ,pct.,4200,1.9
2012,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 67 + ,pct.,4200,2.0
2013,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 67 + ,pct.,4200,1.1
2014,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 67 + ,pct.,4200,2.3
2015,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 67 + ,pct.,4200,1.9
2016,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 67 + ,pct.,4200,1.1
2017,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 67 + ,pct.,4200,2.0
2018,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 67 + ,pct.,4200,2.1
2019,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 67 + ,pct.,4200,1.3
2020,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 67 + ,pct.,4200,1.0
2021,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 67 + ,pct.,4200,0.8
2022,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 67 + ,pct.,4200,0.5
2023,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 67 + ,pct.,4200,0.8
2024,Proportion of population living below the national poverty line,Eysturoy region,Males,Age 67 + ,pct.,4200,1.6
2009,Proportion of population living below the national poverty line,Norðoyggjar region,,,pct.,4100,5.3
2010,Proportion of population living below the national poverty line,Norðoyggjar region,,,pct.,4100,5.0
2011,Proportion of population living below the national poverty line,Norðoyggjar region,,,pct.,4100,4.8
2012,Proportion of population living below the national poverty line,Norðoyggjar region,,,pct.,4100,5.6
2013,Proportion of population living below the national poverty line,Norðoyggjar region,,,pct.,4100,4.0
2014,Proportion of population living below the national poverty line,Norðoyggjar region,,,pct.,4100,3.7
2015,Proportion of population living below the national poverty line,Norðoyggjar region,,,pct.,4100,3.2
2016,Proportion of population living below the national poverty line,Norðoyggjar region,,,pct.,4100,2.8
2017,Proportion of population living below the national poverty line,Norðoyggjar region,,,pct.,4100,2.5
2018,Proportion of population living below the national poverty line,Norðoyggjar region,,,pct.,4100,2.7
2019,Proportion of population living below the national poverty line,Norðoyggjar region,,,pct.,4100,2.4
2020,Proportion of population living below the national poverty line,Norðoyggjar region,,,pct.,4100,2.3
2021,Proportion of population living below the national poverty line,Norðoyggjar region,,,pct.,4100,2.3
2022,Proportion of population living below the national poverty line,Norðoyggjar region,,,pct.,4100,2.4
2023,Proportion of population living below the national poverty line,Norðoyggjar region,,,pct.,4100,2.5
2024,Proportion of population living below the national poverty line,Norðoyggjar region,,,pct.,4100,2.6
2009,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 0 - 17,pct.,4100,8.7
2010,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 0 - 17,pct.,4100,7.7
2011,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 0 - 17,pct.,4100,7.0
2012,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 0 - 17,pct.,4100,8.1
2013,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 0 - 17,pct.,4100,6.1
2014,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 0 - 17,pct.,4100,6.0
2015,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 0 - 17,pct.,4100,4.5
2016,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 0 - 17,pct.,4100,4.1
2017,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 0 - 17,pct.,4100,3.2
2018,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 0 - 17,pct.,4100,4.0
2019,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 0 - 17,pct.,4100,3.2
2020,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 0 - 17,pct.,4100,3.5
2021,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 0 - 17,pct.,4100,3.9
2022,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 0 - 17,pct.,4100,3.2
2023,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 0 - 17,pct.,4100,3.3
2024,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 0 - 17,pct.,4100,3.2
2009,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 18 - 24,pct.,4100,5.1
2010,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 18 - 24,pct.,4100,4.4
2011,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 18 - 24,pct.,4100,3.9
2012,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 18 - 24,pct.,4100,4.9
2013,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 18 - 24,pct.,4100,3.4
2014,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 18 - 24,pct.,4100,4.2
2015,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 18 - 24,pct.,4100,2.3
2016,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 18 - 24,pct.,4100,2.8
2017,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 18 - 24,pct.,4100,1.8
2018,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 18 - 24,pct.,4100,2.8
2019,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 18 - 24,pct.,4100,2.1
2020,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 18 - 24,pct.,4100,2.4
2021,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 18 - 24,pct.,4100,1.5
2022,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 18 - 24,pct.,4100,2.5
2023,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 18 - 24,pct.,4100,2.7
2024,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 18 - 24,pct.,4100,3.1
2009,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 25 - 54,pct.,4100,4.8
2010,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 25 - 54,pct.,4100,4.8
2011,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 25 - 54,pct.,4100,5.2
2012,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 25 - 54,pct.,4100,6.0
2013,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 25 - 54,pct.,4100,3.8
2014,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 25 - 54,pct.,4100,3.7
2015,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 25 - 54,pct.,4100,3.4
2016,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 25 - 54,pct.,4100,2.8
2017,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 25 - 54,pct.,4100,2.4
2018,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 25 - 54,pct.,4100,2.7
2019,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 25 - 54,pct.,4100,2.7
2020,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 25 - 54,pct.,4100,2.2
2021,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 25 - 54,pct.,4100,2.6
2022,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 25 - 54,pct.,4100,2.4
2023,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 25 - 54,pct.,4100,2.5
2024,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 25 - 54,pct.,4100,2.8
2009,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 55 - 66,pct.,4100,3.4
2010,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 55 - 66,pct.,4100,2.9
2011,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 55 - 66,pct.,4100,2.9
2012,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 55 - 66,pct.,4100,2.9
2013,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 55 - 66,pct.,4100,2.4
2014,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 55 - 66,pct.,4100,1.6
2015,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 55 - 66,pct.,4100,1.8
2016,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 55 - 66,pct.,4100,1.3
2017,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 55 - 66,pct.,4100,2.0
2018,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 55 - 66,pct.,4100,0.8
2019,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 55 - 66,pct.,4100,1.0
2020,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 55 - 66,pct.,4100,1.1
2021,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 55 - 66,pct.,4100,0.9
2022,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 55 - 66,pct.,4100,1.8
2023,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 55 - 66,pct.,4100,1.9
2024,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 55 - 66,pct.,4100,2.2
2009,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 67 + ,pct.,4100,2.5
2010,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 67 + ,pct.,4100,3.0
2011,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 67 + ,pct.,4100,2.3
2012,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 67 + ,pct.,4100,3.1
2013,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 67 + ,pct.,4100,2.7
2014,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 67 + ,pct.,4100,1.9
2015,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 67 + ,pct.,4100,2.3
2016,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 67 + ,pct.,4100,2.2
2017,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 67 + ,pct.,4100,2.6
2018,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 67 + ,pct.,4100,2.1
2019,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 67 + ,pct.,4100,1.9
2020,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 67 + ,pct.,4100,1.6
2021,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 67 + ,pct.,4100,1.1
2022,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 67 + ,pct.,4100,1.5
2023,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 67 + ,pct.,4100,1.6
2024,Proportion of population living below the national poverty line,Norðoyggjar region,,Age 67 + ,pct.,4100,1.5
2009,Proportion of population living below the national poverty line,Norðoyggjar region,Females,,pct.,4100,5.5
2010,Proportion of population living below the national poverty line,Norðoyggjar region,Females,,pct.,4100,5.3
2011,Proportion of population living below the national poverty line,Norðoyggjar region,Females,,pct.,4100,4.7
2012,Proportion of population living below the national poverty line,Norðoyggjar region,Females,,pct.,4100,6.0
2013,Proportion of population living below the national poverty line,Norðoyggjar region,Females,,pct.,4100,4.3
2014,Proportion of population living below the national poverty line,Norðoyggjar region,Females,,pct.,4100,4.2
2015,Proportion of population living below the national poverty line,Norðoyggjar region,Females,,pct.,4100,3.4
2016,Proportion of population living below the national poverty line,Norðoyggjar region,Females,,pct.,4100,2.9
2017,Proportion of population living below the national poverty line,Norðoyggjar region,Females,,pct.,4100,2.8
2018,Proportion of population living below the national poverty line,Norðoyggjar region,Females,,pct.,4100,3.0
2019,Proportion of population living below the national poverty line,Norðoyggjar region,Females,,pct.,4100,2.7
2020,Proportion of population living below the national poverty line,Norðoyggjar region,Females,,pct.,4100,2.6
2021,Proportion of population living below the national poverty line,Norðoyggjar region,Females,,pct.,4100,2.4
2022,Proportion of population living below the national poverty line,Norðoyggjar region,Females,,pct.,4100,2.6
2023,Proportion of population living below the national poverty line,Norðoyggjar region,Females,,pct.,4100,2.4
2024,Proportion of population living below the national poverty line,Norðoyggjar region,Females,,pct.,4100,2.7
2009,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 0 - 17,pct.,4100,8.3
2010,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 0 - 17,pct.,4100,8.1
2011,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 0 - 17,pct.,4100,6.0
2012,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 0 - 17,pct.,4100,7.7
2013,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 0 - 17,pct.,4100,6.5
2014,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 0 - 17,pct.,4100,6.1
2015,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 0 - 17,pct.,4100,4.6
2016,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 0 - 17,pct.,4100,4.0
2017,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 0 - 17,pct.,4100,2.9
2018,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 0 - 17,pct.,4100,3.5
2019,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 0 - 17,pct.,4100,3.1
2020,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 0 - 17,pct.,4100,3.2
2021,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 0 - 17,pct.,4100,3.4
2022,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 0 - 17,pct.,4100,2.8
2023,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 0 - 17,pct.,4100,2.5
2024,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 0 - 17,pct.,4100,2.9
2009,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 18 - 24,pct.,4100,6.4
2010,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 18 - 24,pct.,4100,5.6
2011,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 18 - 24,pct.,4100,5.1
2012,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 18 - 24,pct.,4100,7.5
2013,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 18 - 24,pct.,4100,4.8
2014,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 18 - 24,pct.,4100,5.8
2015,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 18 - 24,pct.,4100,3.2
2016,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 18 - 24,pct.,4100,3.6
2017,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 18 - 24,pct.,4100,3.0
2018,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 18 - 24,pct.,4100,3.7
2019,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 18 - 24,pct.,4100,2.5
2020,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 18 - 24,pct.,4100,3.7
2021,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 18 - 24,pct.,4100,1.5
2022,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 18 - 24,pct.,4100,3.8
2023,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 18 - 24,pct.,4100,3.0
2024,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 18 - 24,pct.,4100,2.4
2009,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 25 - 54,pct.,4100,5.7
2010,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 25 - 54,pct.,4100,5.3
2011,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 25 - 54,pct.,4100,5.6
2012,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 25 - 54,pct.,4100,6.8
2013,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 25 - 54,pct.,4100,4.2
2014,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 25 - 54,pct.,4100,4.8
2015,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 25 - 54,pct.,4100,3.9
2016,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 25 - 54,pct.,4100,2.8
2017,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 25 - 54,pct.,4100,2.6
2018,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 25 - 54,pct.,4100,3.7
2019,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 25 - 54,pct.,4100,3.3
2020,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 25 - 54,pct.,4100,2.9
2021,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 25 - 54,pct.,4100,3.0
2022,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 25 - 54,pct.,4100,2.8
2023,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 25 - 54,pct.,4100,2.6
2024,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 25 - 54,pct.,4100,3.1
2009,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 55 - 66,pct.,4100,2.2
2010,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 55 - 66,pct.,4100,2.5
2011,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 55 - 66,pct.,4100,2.1
2012,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 55 - 66,pct.,4100,2.8
2013,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 55 - 66,pct.,4100,2.3
2014,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 55 - 66,pct.,4100,1.3
2015,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 55 - 66,pct.,4100,1.5
2016,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 55 - 66,pct.,4100,1.3
2017,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 55 - 66,pct.,4100,2.3
2018,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 55 - 66,pct.,4100,1.0
2019,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 55 - 66,pct.,4100,1.4
2020,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 55 - 66,pct.,4100,1.2
2021,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 55 - 66,pct.,4100,0.9
2022,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 55 - 66,pct.,4100,1.6
2023,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 55 - 66,pct.,4100,1.9
2024,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 55 - 66,pct.,4100,2.0
2009,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 67 + ,pct.,4100,2.0
2010,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 67 + ,pct.,4100,2.6
2011,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 67 + ,pct.,4100,2.6
2012,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 67 + ,pct.,4100,3.3
2013,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 67 + ,pct.,4100,2.7
2014,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 67 + ,pct.,4100,2.0
2015,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 67 + ,pct.,4100,2.4
2016,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 67 + ,pct.,4100,2.4
2017,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 67 + ,pct.,4100,3.5
2018,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 67 + ,pct.,4100,2.2
2019,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 67 + ,pct.,4100,2.2
2020,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 67 + ,pct.,4100,1.9
2021,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 67 + ,pct.,4100,1.6
2022,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 67 + ,pct.,4100,2.0
2023,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 67 + ,pct.,4100,1.9
2024,Proportion of population living below the national poverty line,Norðoyggjar region,Females,Age 67 + ,pct.,4100,2.0
2009,Proportion of population living below the national poverty line,Norðoyggjar region,Males,,pct.,4100,5.2
2010,Proportion of population living below the national poverty line,Norðoyggjar region,Males,,pct.,4100,4.7
2011,Proportion of population living below the national poverty line,Norðoyggjar region,Males,,pct.,4100,4.9
2012,Proportion of population living below the national poverty line,Norðoyggjar region,Males,,pct.,4100,5.2
2013,Proportion of population living below the national poverty line,Norðoyggjar region,Males,,pct.,4100,3.7
2014,Proportion of population living below the national poverty line,Norðoyggjar region,Males,,pct.,4100,3.3
2015,Proportion of population living below the national poverty line,Norðoyggjar region,Males,,pct.,4100,2.9
2016,Proportion of population living below the national poverty line,Norðoyggjar region,Males,,pct.,4100,2.8
2017,Proportion of population living below the national poverty line,Norðoyggjar region,Males,,pct.,4100,2.2
2018,Proportion of population living below the national poverty line,Norðoyggjar region,Males,,pct.,4100,2.3
2019,Proportion of population living below the national poverty line,Norðoyggjar region,Males,,pct.,4100,2.0
2020,Proportion of population living below the national poverty line,Norðoyggjar region,Males,,pct.,4100,1.9
2021,Proportion of population living below the national poverty line,Norðoyggjar region,Males,,pct.,4100,2.3
2022,Proportion of population living below the national poverty line,Norðoyggjar region,Males,,pct.,4100,2.2
2023,Proportion of population living below the national poverty line,Norðoyggjar region,Males,,pct.,4100,2.6
2024,Proportion of population living below the national poverty line,Norðoyggjar region,Males,,pct.,4100,2.5
2009,Proportion of population living below the national poverty line,Norðoyggjar region,Males,Age 0 - 17,pct.,4100,9.0
2010,Proportion of population living below the national poverty line,Norðoyggjar region,Males,Age 0 - 17,pct.,4100,7.2
2011,Proportion of population living below the national poverty line,Norðoyggjar region,Males,Age 0 - 17,pct.,4100,8.0
2012,Proportion of population living below the national poverty line,Norðoyggjar region,Males,Age 0 - 17,pct.,4100,8.5
2013,Proportion of population living below the national poverty line,Norðoyggjar region,Males,Age 0 - 17,pct.,4100,5.7
2014,Proportion of population living below the national poverty line,Norðoyggjar region,Males,Age 0 - 17,pct.,4100,6.0
2015,Proportion of population living below the national poverty line,Norðoyggjar region,Males,Age 0 - 17,pct.,4100,4.5
2016,Proportion of population living below the national poverty line,Norðoyggjar region,Males,Age 0 - 17,pct.,4100,4.2
2017,Proportion of population living below the national poverty line,Norðoyggjar region,Males,Age 0 - 17,pct.,4100,3.5
2018,Proportion of population living below the national poverty line,Norðoyggjar region,Males,Age 0 - 17,pct.,4100,4.4
2019,Proportion of population living below the national poverty line,Norðoyggjar region,Males,Age 0 - 17,pct.,4100,3.4
2020,Proportion of population living below the national poverty line,Norðoyggjar region,Males,Age 0 - 17,pct.,4100,3.7
2021,Proportion of population living below the national poverty line,Norðoyggjar region,Males,Age 0 - 17,pct.,4100,4.4
2022,Proportion of population living below the national poverty line,Norðoyggjar region,Males,Age 0 - 17,pct.,4100,3.7
2023,Proportion of population living below the national poverty line,Norðoyggjar region,Males,Age 0 - 17,pct.,4100,4.1
2024,Proportion of population living below the national poverty line,Norðoyggjar region,Males,Age 0 - 17,pct.,4100,3.4
2009,Proportion of population living below the national poverty line,Norðoyggjar region,Males,Age 18 - 24,pct.,4100,4.0
2010,Proportion of population living below the national poverty line,Norðoyggjar region,Males,Age 18 - 24,pct.,4100,3.3
2011,Proportion of population living below the national poverty line,Norðoyggjar region,Males,Age 18 - 24,pct.,4100,2.8
2012,Proportion of population living below the national poverty line,Norðoyggjar region,Males,Age 18 - 24,pct.,4100,2.7
2013,Proportion of population living below the national poverty line,Norðoyggjar region,Males,Age 18 - 24,pct.,4100,2.3
2014,Proportion of population living below the national poverty line,Norðoyggjar region,Males,Age 18 - 24,pct.,4100,2.8
2015,Proportion of population living below the national poverty line,Norðoyggjar region,Males,Age 18 - 24,pct.,4100,1.4
2016,Proportion of population living below the national poverty line,Norðoyggjar region,Males,Age 18 - 24,pct.,4100,2.1
2017,Proportion of population living below the national poverty line,Norðoyggjar region,Males,Age 18 - 24,pct.,4100,0.7
2018,Proportion of population living below the national poverty line,Norðoyggjar region,Males,Age 18 - 24,pct.,4100,2.0
2019,Proportion of population living below the national poverty line,Norðoyggjar region,Males,Age 18 - 24,pct.,4100,1.6
2020,Proportion of population living below the national poverty line,Norðoyggjar region,Males,Age 18 - 24,pct.,4100,1.2
2021,Proportion of population living below the national poverty line,Norðoyggjar region,Males,Age 18 - 24,pct.,4100,1.5
2022,Proportion of population living below the national poverty line,Norðoyggjar region,Males,Age 18 - 24,pct.,4100,1.5
2023,Proportion of population living below the national poverty line,Norðoyggjar region,Males,Age 18 - 24,pct.,4100,2.4
2024,Proportion of population living below the national poverty line,Norðoyggjar region,Males,Age 18 - 24,pct.,4100,3.7
2009,Proportion of population living below the national poverty line,Norðoyggjar region,Males,Age 25 - 54,pct.,4100,4.1
