Year,Series,region,sex,age,Units,GeoCode,Value
2022,Proportion of population living below the national poverty line,,,Age 18 - 24,pct.,TOTAL,3.1
2023,Proportion of population living below the national poverty line,,,Age 18 - 24,pct.,TOTAL,3.3
2024,Proportion of population living below the national poverty line,,,Age 18 - 24,pct.,TOTAL,3.5
2009,Proportion of population living below the national poverty line,,,Age 25 - 54,pct.,TOTAL,3.5
2010,Proportion of population living below the national poverty line,,,Age 25 - 54,pct.,TOTAL,3.8
2011,Proportion of population living below the national poverty line,,,Age 25 - 54,pct.,TOTAL,4.1
2012,Proportion of population living below the national poverty line,,,Age 25 - 54,pct.,TOTAL,4.4
2013,Proportion of population living below the national poverty line,,,Age 25 - 54,pct.,TOTAL,3.4
2014,Proportion of population living below the national poverty line,,,Age 25 - 54,pct.,TOTAL,3.1
2015,Proportion of population living below the national poverty line,,,Age 25 - 54,pct.,TOTAL,3.2
2016,Proportion of population living below the national poverty line,,,Age 25 - 54,pct.,TOTAL,3.1
2017,Proportion of population living below the national poverty line,,,Age 25 - 54,pct.,TOTAL,2.9
2018,Proportion of population living below the national poverty line,,,Age 25 - 54,pct.,TOTAL,2.8
2019,Proportion of population living below the national poverty line,,,Age 25 - 54,pct.,TOTAL,2.6
2020,Proportion of population living below the national poverty line,,,Age 25 - 54,pct.,TOTAL,2.3
2021,Proportion of population living below the national poverty line,,,Age 25 - 54,pct.,TOTAL,2.8
2022,Proportion of population living below the national poverty line,,,Age 25 - 54,pct.,TOTAL,2.7
2023,Proportion of population living below the national poverty line,,,Age 25 - 54,pct.,TOTAL,2.6
2024,Proportion of population living below the national poverty line,,,Age 25 - 54,pct.,TOTAL,3.1
2009,Proportion of population living below the national poverty line,,,Age 55 - 66,pct.,TOTAL,3.7
2010,Proportion of population living below the national poverty line,,,Age 55 - 66,pct.,TOTAL,3.5
2011,Proportion of population living below the national poverty line,,,Age 55 - 66,pct.,TOTAL,3.5
2012,Proportion of population living below the national poverty line,,,Age 55 - 66,pct.,TOTAL,3.8
2013,Proportion of population living below the national poverty line,,,Age 55 - 66,pct.,TOTAL,3.2
2014,Proportion of population living below the national poverty line,,,Age 55 - 66,pct.,TOTAL,3.2
2015,Proportion of population living below the national poverty line,,,Age 55 - 66,pct.,TOTAL,2.7
2016,Proportion of population living below the national poverty line,,,Age 55 - 66,pct.,TOTAL,2.8
2017,Proportion of population living below the national poverty line,,,Age 55 - 66,pct.,TOTAL,2.7
2018,Proportion of population living below the national poverty line,,,Age 55 - 66,pct.,TOTAL,2.3
2019,Proportion of population living below the national poverty line,,,Age 55 - 66,pct.,TOTAL,2.2
2020,Proportion of population living below the national poverty line,,,Age 55 - 66,pct.,TOTAL,2.0
2021,Proportion of population living below the national poverty line,,,Age 55 - 66,pct.,TOTAL,2.1
2022,Proportion of population living below the national poverty line,,,Age 55 - 66,pct.,TOTAL,2.0
2023,Proportion of population living below the national poverty line,,,Age 55 - 66,pct.,TOTAL,2.0
2024,Proportion of population living below the national poverty line,,,Age 55 - 66,pct.,TOTAL,2.2
2009,Proportion of population living below the national poverty line,,,Age 67 + ,pct.,TOTAL,3.0
2010,Proportion of population living below the national poverty line,,,Age 67 + ,pct.,TOTAL,2.6
2011,Proportion of population living below the national poverty line,,,Age 67 + ,pct.,TOTAL,2.8
2012,Proportion of population living below the national poverty line,,,Age 67 + ,pct.,TOTAL,2.4
2013,Proportion of population living below the national poverty line,,,Age 67 + ,pct.,TOTAL,1.8
2014,Proportion of population living below the national poverty line,,,Age 67 + ,pct.,TOTAL,2.0
2015,Proportion of population living below the national poverty line,,,Age 67 + ,pct.,TOTAL,2.0
2016,Proportion of population living below the national poverty line,,,Age 67 + ,pct.,TOTAL,1.9
2017,Proportion of population living below the national poverty line,,,Age 67 + ,pct.,TOTAL,2.5
2018,Proportion of population living below the national poverty line,,,Age 67 + ,pct.,TOTAL,2.4
2019,Proportion of population living below the national poverty line,,,Age 67 + ,pct.,TOTAL,1.5
2020,Proportion of population living below the national poverty line,,,Age 67 + ,pct.,TOTAL,1.3
2021,Proportion of population living below the national poverty line,,,Age 67 + ,pct.,TOTAL,1.0
2022,Proportion of population living below the national poverty line,,,Age 67 + ,pct.,TOTAL,0.9
2023,Proportion of population living below the national poverty line,,,Age 67 + ,pct.,TOTAL,1.4
2024,Proportion of population living below the national poverty line,,,Age 67 + ,pct.,TOTAL,1.4
2009,Proportion of population living below the national poverty line,,Females,,pct.,TOTAL,4.1
2010,Proportion of population living below the national poverty line,,Females,,pct.,TOTAL,4.2
2011,Proportion of population living below the national poverty line,,Females,,pct.,TOTAL,4.7
2012,Proportion of population living below the national poverty line,,Females,,pct.,TOTAL,4.8
2013,Proportion of population living below the national poverty line,,Females,,pct.,TOTAL,3.9
2014,Proportion of population living below the national poverty line,,Females,,pct.,TOTAL,3.8
2015,Proportion of population living below the national poverty line,,Females,,pct.,TOTAL,3.6
2016,Proportion of population living below the national poverty line,,Females,,pct.,TOTAL,3.4
2017,Proportion of population living below the national poverty line,,Females,,pct.,TOTAL,3.1
2018,Proportion of population living below the national poverty line,,Females,,pct.,TOTAL,3.0
2019,Proportion of population living below the national poverty line,,Females,,pct.,TOTAL,2.9
2020,Proportion of population living below the national poverty line,,Females,,pct.,TOTAL,2.6
2021,Proportion of population living below the national poverty line,,Females,,pct.,TOTAL,2.7
2022,Proportion of population living below the national poverty line,,Females,,pct.,TOTAL,2.6
2023,Proportion of population living below the national poverty line,,Females,,pct.,TOTAL,2.6
2024,Proportion of population living below the national poverty line,,Females,,pct.,TOTAL,2.9
2009,Proportion of population living below the national poverty line,,Females,Age 0 - 17,pct.,TOTAL,5.2
2010,Proportion of population living below the national poverty line,,Females,Age 0 - 17,pct.,TOTAL,5.5
2011,Proportion of population living below the national poverty line,,Females,Age 0 - 17,pct.,TOTAL,6.1
2012,Proportion of population living below the national poverty line,,Females,Age 0 - 17,pct.,TOTAL,6.0
2013,Proportion of population living below the national poverty line,,Females,Age 0 - 17,pct.,TOTAL,5.3
2014,Proportion of population living below the national poverty line,,Females,Age 0 - 17,pct.,TOTAL,5.0
2015,Proportion of population living below the national poverty line,,Females,Age 0 - 17,pct.,TOTAL,4.9
2016,Proportion of population living below the national poverty line,,Females,Age 0 - 17,pct.,TOTAL,4.4
2017,Proportion of population living below the national poverty line,,Females,Age 0 - 17,pct.,TOTAL,3.8
2018,Proportion of population living below the national poverty line,,Females,Age 0 - 17,pct.,TOTAL,3.4
2019,Proportion of population living below the national poverty line,,Females,Age 0 - 17,pct.,TOTAL,3.8
2020,Proportion of population living below the national poverty line,,Females,Age 0 - 17,pct.,TOTAL,3.5
2021,Proportion of population living below the national poverty line,,Females,Age 0 - 17,pct.,TOTAL,3.5
2022,Proportion of population living below the national poverty line,,Females,Age 0 - 17,pct.,TOTAL,3.1
2023,Proportion of population living below the national poverty line,,Females,Age 0 - 17,pct.,TOTAL,3.3
2024,Proportion of population living below the national poverty line,,Females,Age 0 - 17,pct.,TOTAL,3.9
2009,Proportion of population living below the national poverty line,,Females,Age 18 - 24,pct.,TOTAL,4.8
2010,Proportion of population living below the national poverty line,,Females,Age 18 - 24,pct.,TOTAL,5.8
2011,Proportion of population living below the national poverty line,,Females,Age 18 - 24,pct.,TOTAL,7.4
2012,Proportion of population living below the national poverty line,,Females,Age 18 - 24,pct.,TOTAL,8.2
2013,Proportion of population living below the national poverty line,,Females,Age 18 - 24,pct.,TOTAL,5.9
2014,Proportion of population living below the national poverty line,,Females,Age 18 - 24,pct.,TOTAL,5.9
2015,Proportion of population living below the national poverty line,,Females,Age 18 - 24,pct.,TOTAL,5.3
2016,Proportion of population living below the national poverty line,,Females,Age 18 - 24,pct.,TOTAL,4.8
2017,Proportion of population living below the national poverty line,,Females,Age 18 - 24,pct.,TOTAL,4.0
2018,Proportion of population living below the national poverty line,,Females,Age 18 - 24,pct.,TOTAL,4.2
2019,Proportion of population living below the national poverty line,,Females,Age 18 - 24,pct.,TOTAL,3.9
2020,Proportion of population living below the national poverty line,,Females,Age 18 - 24,pct.,TOTAL,3.7
2021,Proportion of population living below the national poverty line,,Females,Age 18 - 24,pct.,TOTAL,4.1
2022,Proportion of population living below the national poverty line,,Females,Age 18 - 24,pct.,TOTAL,4.7
2023,Proportion of population living below the national poverty line,,Females,Age 18 - 24,pct.,TOTAL,4.5
2024,Proportion of population living below the national poverty line,,Females,Age 18 - 24,pct.,TOTAL,4.1
2009,Proportion of population living below the national poverty line,,Females,Age 25 - 54,pct.,TOTAL,3.9
2010,Proportion of population living below the national poverty line,,Females,Age 25 - 54,pct.,TOTAL,4.0
2011,Proportion of population living below the national poverty line,,Females,Age 25 - 54,pct.,TOTAL,4.3
2012,Proportion of population living below the national poverty line,,Females,Age 25 - 54,pct.,TOTAL,4.8
2013,Proportion of population living below the national poverty line,,Females,Age 25 - 54,pct.,TOTAL,3.8
2014,Proportion of population living below the national poverty line,,Females,Age 25 - 54,pct.,TOTAL,3.6
2015,Proportion of population living below the national poverty line,,Females,Age 25 - 54,pct.,TOTAL,3.5
2016,Proportion of population living below the national poverty line,,Females,Age 25 - 54,pct.,TOTAL,3.4
2017,Proportion of population living below the national poverty line,,Females,Age 25 - 54,pct.,TOTAL,3.0
2018,Proportion of population living below the national poverty line,,Females,Age 25 - 54,pct.,TOTAL,3.0
2019,Proportion of population living below the national poverty line,,Females,Age 25 - 54,pct.,TOTAL,3.0
