Year,Series,øki,kyn,aldur,Units,GeoCode,Value
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 67 + ,%,TOTAL,2.0
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 67 + ,%,TOTAL,2.0
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 67 + ,%,TOTAL,1.9
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 67 + ,%,TOTAL,2.5
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 67 + ,%,TOTAL,2.4
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 67 + ,%,TOTAL,1.5
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 67 + ,%,TOTAL,1.3
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 67 + ,%,TOTAL,1.0
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 67 + ,%,TOTAL,0.9
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 67 + ,%,TOTAL,1.4
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,,Aldur 67 + ,%,TOTAL,1.4
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,,%,TOTAL,4.1
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,,%,TOTAL,4.2
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,,%,TOTAL,4.7
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,,%,TOTAL,4.8
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,,%,TOTAL,3.9
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,,%,TOTAL,3.8
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,,%,TOTAL,3.6
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,,%,TOTAL,3.4
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,,%,TOTAL,3.1
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,,%,TOTAL,3.0
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,,%,TOTAL,2.9
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,,%,TOTAL,2.6
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,,%,TOTAL,2.7
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,,%,TOTAL,2.6
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,,%,TOTAL,2.6
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,,%,TOTAL,2.9
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 0 - 17,%,TOTAL,5.2
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 0 - 17,%,TOTAL,5.5
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 0 - 17,%,TOTAL,6.1
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 0 - 17,%,TOTAL,6.0
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 0 - 17,%,TOTAL,5.3
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 0 - 17,%,TOTAL,5.0
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 0 - 17,%,TOTAL,4.9
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 0 - 17,%,TOTAL,4.4
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 0 - 17,%,TOTAL,3.8
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 0 - 17,%,TOTAL,3.4
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 0 - 17,%,TOTAL,3.8
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 0 - 17,%,TOTAL,3.5
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 0 - 17,%,TOTAL,3.5
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 0 - 17,%,TOTAL,3.1
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 0 - 17,%,TOTAL,3.3
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 0 - 17,%,TOTAL,3.9
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 18 - 24,%,TOTAL,4.8
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 18 - 24,%,TOTAL,5.8
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 18 - 24,%,TOTAL,7.4
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 18 - 24,%,TOTAL,8.2
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 18 - 24,%,TOTAL,5.9
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 18 - 24,%,TOTAL,5.9
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 18 - 24,%,TOTAL,5.3
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 18 - 24,%,TOTAL,4.8
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 18 - 24,%,TOTAL,4.0
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 18 - 24,%,TOTAL,4.2
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 18 - 24,%,TOTAL,3.9
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 18 - 24,%,TOTAL,3.7
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 18 - 24,%,TOTAL,4.1
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 18 - 24,%,TOTAL,4.7
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 18 - 24,%,TOTAL,4.5
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 18 - 24,%,TOTAL,4.1
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 25 - 54,%,TOTAL,3.9
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 25 - 54,%,TOTAL,4.0
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 25 - 54,%,TOTAL,4.3
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 25 - 54,%,TOTAL,4.8
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 25 - 54,%,TOTAL,3.8
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 25 - 54,%,TOTAL,3.6
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 25 - 54,%,TOTAL,3.5
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 25 - 54,%,TOTAL,3.4
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 25 - 54,%,TOTAL,3.0
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 25 - 54,%,TOTAL,3.0
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 25 - 54,%,TOTAL,3.0
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 25 - 54,%,TOTAL,2.6
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 25 - 54,%,TOTAL,2.9
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 25 - 54,%,TOTAL,2.8
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 25 - 54,%,TOTAL,2.6
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 25 - 54,%,TOTAL,3.1
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 55 - 66,%,TOTAL,3.0
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 55 - 66,%,TOTAL,2.8
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 55 - 66,%,TOTAL,2.8
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 55 - 66,%,TOTAL,3.1
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 55 - 66,%,TOTAL,2.6
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 55 - 66,%,TOTAL,2.7
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 55 - 66,%,TOTAL,2.1
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 55 - 66,%,TOTAL,2.4
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 55 - 66,%,TOTAL,2.3
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 55 - 66,%,TOTAL,2.1
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 55 - 66,%,TOTAL,1.9
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 55 - 66,%,TOTAL,1.7
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 55 - 66,%,TOTAL,1.6
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 55 - 66,%,TOTAL,1.5
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 55 - 66,%,TOTAL,1.7
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 55 - 66,%,TOTAL,1.7
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 67 + ,%,TOTAL,3.0
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 67 + ,%,TOTAL,2.6
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 67 + ,%,TOTAL,3.0
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 67 + ,%,TOTAL,2.2
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 67 + ,%,TOTAL,1.9
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 67 + ,%,TOTAL,2.0
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 67 + ,%,TOTAL,1.9
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 67 + ,%,TOTAL,1.9
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 67 + ,%,TOTAL,2.9
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 67 + ,%,TOTAL,2.6
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 67 + ,%,TOTAL,1.7
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 67 + ,%,TOTAL,1.6
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 67 + ,%,TOTAL,1.1
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 67 + ,%,TOTAL,1.2
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 67 + ,%,TOTAL,1.5
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Kvinnur,Aldur 67 + ,%,TOTAL,1.6
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,,%,TOTAL,3.7
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,,%,TOTAL,3.8
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,,%,TOTAL,4.2
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,,%,TOTAL,4.5
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,,%,TOTAL,3.4
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,,%,TOTAL,3.3
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,,%,TOTAL,3.2
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,,%,TOTAL,3.1
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,,%,TOTAL,2.9
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,,%,TOTAL,2.8
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,,%,TOTAL,2.4
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,,%,TOTAL,2.1
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,,%,TOTAL,2.5
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,,%,TOTAL,2.4
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,,%,TOTAL,2.3
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,,%,TOTAL,2.8
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 0 - 17,%,TOTAL,4.9
2010,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 0 - 17,%,TOTAL,4.8
2011,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 0 - 17,%,TOTAL,5.3
2012,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 0 - 17,%,TOTAL,6.4
2013,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 0 - 17,%,TOTAL,4.9
2014,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 0 - 17,%,TOTAL,4.7
2015,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 0 - 17,%,TOTAL,4.0
2016,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 0 - 17,%,TOTAL,4.1
2017,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 0 - 17,%,TOTAL,3.8
2018,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 0 - 17,%,TOTAL,3.6
2019,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 0 - 17,%,TOTAL,3.0
2020,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 0 - 17,%,TOTAL,3.0
2021,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 0 - 17,%,TOTAL,3.2
2022,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 0 - 17,%,TOTAL,3.4
2023,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 0 - 17,%,TOTAL,2.7
2024,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 0 - 17,%,TOTAL,3.3
2009,"Partur av fólkinum, ið livir av minni enn fátækamarkinum í landinum",,Menn,Aldur 18 - 24,%,TOTAL,2.8
