Year,Series,Performance sector,Units,Value
2022,GB_XPD_RSDV,TOTAL,%_GDP,1.61001213850604
2023,GB_XPD_RSDV,TOTAL,%_GDP,1.34950681639366
2024,GB_XPD_RSDV,TOTAL,%_GDP,1.20101596106359
2022,GB_XPD_RSDV,ENTERPRISE,%_GDP,1.23032873503694
2023,GB_XPD_RSDV,ENTERPRISE,%_GDP,0.916270397208618
2024,GB_XPD_RSDV,ENTERPRISE,%_GDP,0.736985531260065
2022,GB_XPD_RSDV,PUBLIC SECTOR,%_GDP,0.379683403469094
2023,GB_XPD_RSDV,PUBLIC SECTOR,%_GDP,0.433236419185041
2024,GB_XPD_RSDV,PUBLIC SECTOR,%_GDP,0.464030429803529
